//Weapon items, internal ID+1
Hand Axe, hax: 1
Axe: 2
Double Axe, 2ax: 3
Military Pick, mpi: 4
War Axe, wax: 5
Large Axe, lax: 6
Broad Axe, bax: 7
Battle Axe, btx: 8
Great Axe, gax: 9
Giant Axe, gix: 10
Wand, wnd: 11
Yew Wand, ywn: 12
Bone Wand, bwn: 13
Grim Wand, gwn: 14
Club, clb: 15
Scepter, scp: 16
Grand Scepter, gsc: 17
War Scepter, wsp: 18
Spiked Club, spc: 19
Mace, mac: 20
Morning Star, mst: 21
Flail, fla: 22
War Hammer, whm: 23
Maul, mau: 24
Great Maul, gma: 25
Short Sword, ssd: 26
Scimitar, scm: 27
Sabre, sbr: 28
Falchion, flc: 29
Crystal Sword, crs: 30
Broad Sword, bsd: 31
Long Sword, lsd: 32
War Sword, wsd: 33
Two Handed Sword, 2hs: 34
Claymore, clm: 35
Giant Sword, gis: 36
Bastard Sword, bsw: 37
Flamberge, flb: 38
Great Sword, gsd: 39
Dagger, dgr: 40
Dirk, dir: 41
Kris, kri: 42
Blade, bld: 43
Throwing Knife, tkf: 44
Throwing Axe, tax: 45
Balanced Knife, bkf: 46
Balanced Axe, bal: 47
Javelin, jav: 48
Pilum, pil: 49
Short Spear, ssp: 50
Glaive, glv: 51
Throwing Spear, tsp: 52
Spear, spr: 53
Trident, tri: 54
Brandistock, brn: 55
Spetum, spt: 56
Pike, pik: 57
Bardiche, bar: 58
Voulge, vou: 59
Scythe, scy: 60
Poleaxe, pax: 61
Halberd, hal: 62
War Scythe, wsc: 63
Short Staff, sst: 64
Long Staff, lst: 65
Gnarled Staff, cst: 66
Battle Staff, bst: 67
War Staff, wst: 68
Short Bow, sbw: 69
Hunter's Bow, hbw: 70
Long Bow, lbw: 71
Composite Bow, cbw: 72
Short Battle Bow, sbb: 73
Long Battle Bow, lbb: 74
Short War Bow, swb: 75
Long War Bow, lwb: 76
Light Crossbow, lxb: 77
Crossbow, mxb: 78
Heavy Crossbow, hxb: 79
Repeating Crossbow, rxb: 80
Rancid Gas Potion, gps: 81
Oil Potion, ops: 82
Choking Gas Potion, gpm: 83
Exploding Potion, opm: 84
